JP;AHH;HLS;RLS;AMH;PPK;TPT;PDRB;IPM
592916;72,48;12,66;7,82;95,71;9184;3,65;17986,5;69,37
964253;73,2;13,76;7,77;90,83;10199;5,51;23028,3;71,87
739669;74,26;12,5;7,89;94,69;10042;5,37;20882,3;71
1105337;74,54;13,33;8,65;95,46;11162;6,65;44133,5;74,06
1240322;73,98;12,64;7,82;96,62;11001;5,45;41379,3;71,86
1656020;72,97;13,61;8,23;95,35;11565;6,83;46665;73,46
2685900;72,95;13,38;7,68;96,02;10326;6,57;117457;71,38
1137227;70,61;12,02;6,87;91,52;9466;4,97;36663,7;66,95
2567718;69,68;13,44;6,5;89,29;9840;4,06;88075,5;67,97
1731731;71,06;13,11;7,66;93,27;12320;5,26;93299;71,94
781417;67,29;13,31;6,22;88,35;10851;4,32;22901,9;67,31
691260;69,62;13,18;6,63;85,38;10263;3,38;23128,6;68,25
1159965;67,78;12,58;6,13;88,04;11254;3,25;38932,8;66,96
1619035;70,55;12,76;7,42;94,33;10726;5,91;172654,2;69,68
2103401;74,36;14,95;10,77;98,64;14808;8,8;245222,5;81,02
1133584;72,93;12,96;8,97;96,36;13051;4,83;95738,1;74,89
1335972;72,86;13,58;8,76;96,31;11579;5,47;45930,4;74,05
1117033;71,95;13,07;8,12;93,33;12349;4,74;30819,8;72,93
757665;71,9;13,18;7,94;94,07;11848;5,84;21879,4;72,39
678343;72,97;14,05;8,66;94,84;12031;4,33;21194,7;74,85
877432;72,81;12,84;7,59;91,85;11563;2,48;22455;71,75
1315125;72,16;12,84;7,43;93,20;10323;4,69;100492,9;70,12
1209543;71,97;12,24;7,37;91,55;10703;4,54;75187,7;69,67
1371509;72,86;14,01;8,33;93,75;11648;6,05;45441,1;74,02
1332664;72,99;13,96;9,75;97,76;13384;7,84;163907,9;77,16
1086620;70,54;11,91;5,97;88,69;8971;8,05;27164,2;65,05
984162;68,38;12,39;5,06;81,56;8944;3,11;23009,3;63,39
857818;68,03;13,67;6,88;90,82;8967;1,4;19263,4;66,99
1136632;71,99;13,51;5,93;88,12;9388;1,36;40255,3;67,87
289418;74,34;15,44;10,45;97,73;12762;4,38;152791,1;79,59
151960;74,26;14,56;10,65;97,16;14058;5,39;7833,9;79,93
846126;73,75;15,76;10,69;98,36;16897;7,66;84807,4;82,71
243200;70,68;13,67;9,29;94,86;12571;4,57;12931,4;74,56
211497;71,96;13,64;9,67;96,73;13803;6,18;9452,8;76,54
134350;73,74;14,02;10,8;98,12;14054;5,05;7637;79,32
199192;73,13;14,43;11,67;98,59;16503;6,39;15825,6;82,01
2887223;74,47;14,83;10,51;98,58;18345;7,62;655616,2;82,74
216735;72,97;14,4;9,63;98,80;13094;8,43;18587,6;77,22
